County,State,Combined_Key,3/1/2020,4/1/2020,5/1/2020,6/1/2020
Chester,South Carolina,"Chester, South Carolina, US",0,3,30,83
Chesterfield,South Carolina,"Chesterfield, South Carolina, US",0,9,58,200
Clarendon,South Carolina,"Clarendon, South Carolina, US",0,28,214,301
Colleton,South Carolina,"Colleton, South Carolina, US",0,5,33,110
Darlington,South Carolina,"Darlington, South Carolina, US",0,11,130,299
Dillon,South Carolina,"Dillon, South Carolina, US",0,1,54,166
Dorchester,South Carolina,"Dorchester, South Carolina, US",0,27,100,169
Edgefield,South Carolina,"Edgefield, South Carolina, US",0,4,29,51
Fairfield,South Carolina,"Fairfield, South Carolina, US",0,7,36,181
Florence,South Carolina,"Florence, South Carolina, US",0,21,325,675
Georgetown,South Carolina,"Georgetown, South Carolina, US",0,14,43,77
Greenville,South Carolina,"Greenville, South Carolina, US",0,129,730,1690
Greenwood,South Carolina,"Greenwood, South Carolina, US",0,6,49,147
Hampton,South Carolina,"Hampton, South Carolina, US",0,0,26,38
Horry,South Carolina,"Horry, South Carolina, US",0,42,223,454
Jasper,South Carolina,"Jasper, South Carolina, US",0,4,21,42
Kershaw,South Carolina,"Kershaw, South Carolina, US",0,116,237,338
Lancaster,South Carolina,"Lancaster, South Carolina, US",0,17,99,140
Laurens,South Carolina,"Laurens, South Carolina, US",0,4,40,68
Lee,South Carolina,"Lee, South Carolina, US",0,5,65,218
Lexington,South Carolina,"Lexington, South Carolina, US",0,61,370,657
McCormick,South Carolina,"McCormick, South Carolina, US",0,0,6,9
Marion,South Carolina,"Marion, South Carolina, US",0,2,36,71
Marlboro,South Carolina,"Marlboro, South Carolina, US",0,2,46,173
Newberry,South Carolina,"Newberry, South Carolina, US",0,2,27,62
Oconee,South Carolina,"Oconee, South Carolina, US",0,5,24,54
Orangeburg,South Carolina,"Orangeburg, South Carolina, US",0,24,77,201
Pickens,South Carolina,"Pickens, South Carolina, US",0,14,57,164
Richland,South Carolina,"Richland, South Carolina, US",0,176,913,1530
Saluda,South Carolina,"Saluda, South Carolina, US",0,1,52,148
Spartanburg,South Carolina,"Spartanburg, South Carolina, US",0,45,295,637
Sumter,South Carolina,"Sumter, South Carolina, US",0,48,230,387
Union,South Carolina,"Union, South Carolina, US",0,3,26,37
Williamsburg,South Carolina,"Williamsburg, South Carolina, US",0,3,76,238
York,South Carolina,"York, South Carolina, US",0,66,215,417
Aurora,South Dakota,"Aurora, South Dakota, US",0,1,1,26
Beadle,South Dakota,"Beadle, South Dakota, US",0,21,21,275
Bennett,South Dakota,"Bennett, South Dakota, US",0,0,0,0
Bon Homme,South Dakota,"Bon Homme, South Dakota, US",0,1,4,8
Brookings,South Dakota,"Brookings, South Dakota, US",0,2,13,16
Brown,South Dakota,"Brown, South Dakota, US",0,4,42,275
Brule,South Dakota,"Brule, South Dakota, US",0,0,0,0
Buffalo,South Dakota,"Buffalo, South Dakota, US",0,0,1,18
Butte,South Dakota,"Butte, South Dakota, US",0,0,0,0
Campbell,South Dakota,"Campbell, South Dakota, US",0,0,0,0
Charles Mix,South Dakota,"Charles Mix, South Dakota, US",0,1,5,17
Clark,South Dakota,"Clark, South Dakota, US",0,1,1,4
Clay,South Dakota,"Clay, South Dakota, US",0,3,6,15
Codington,South Dakota,"Codington, South Dakota, US",0,5,14,37
Corson,South Dakota,"Corson, South Dakota, US",0,0,1,4
Custer,South Dakota,"Custer, South Dakota, US",0,0,0,0
Davison,South Dakota,"Davison, South Dakota, US",0,2,5,16
Day,South Dakota,"Day, South Dakota, US",0,0,4,13
Deuel,South Dakota,"Deuel, South Dakota, US",0,1,1,1
Dewey,South Dakota,"Dewey, South Dakota, US",0,0,1,0
Douglas,South Dakota,"Douglas, South Dakota, US",0,0,1,3
Edmunds,South Dakota,"Edmunds, South Dakota, US",0,0,0,1
Fall River,South Dakota,"Fall River, South Dakota, US",0,1,1,4
Faulk,South Dakota,"Faulk, South Dakota, US",0,1,1,1
Grant,South Dakota,"Grant, South Dakota, US",0,0,0,13
Gregory,South Dakota,"Gregory, South Dakota, US",0,0,0,1
Haakon,South Dakota,"Haakon, South Dakota, US",0,0,0,0
Hamlin,South Dakota,"Hamlin, South Dakota, US",0,1,2,4
Hand,South Dakota,"Hand, South Dakota, US",0,0,1,2
Hanson,South Dakota,"Hanson, South Dakota, US",0,0,0,0
Harding,South Dakota,"Harding, South Dakota, US",0,0,0,0
Hughes,South Dakota,"Hughes, South Dakota, US",0,2,9,19
Hutchinson,South Dakota,"Hutchinson, South Dakota, US",0,2,3,5
Hyde,South Dakota,"Hyde, South Dakota, US",0,0,1,1
Jackson,South Dakota,"Jackson, South Dakota, US",0,0,0,4
Jerauld,South Dakota,"Jerauld, South Dakota, US",0,0,6,35
Jones,South Dakota,"Jones, South Dakota, US",0,0,0,0
Kingsbury,South Dakota,"Kingsbury, South Dakota, US",0,0,0,1
Lake,South Dakota,"Lake, South Dakota, US",0,0,4,8
Lawrence,South Dakota,"Lawrence, South Dakota, US",0,6,9,11
Lincoln,South Dakota,"Lincoln, South Dakota, US",0,11,153,238
Lyman,South Dakota,"Lyman, South Dakota, US",0,1,3,14
McCook,South Dakota,"McCook, South Dakota, US",0,2,4,6
McPherson,South Dakota,"McPherson, South Dakota, US",0,0,1,1
Marshall,South Dakota,"Marshall, South Dakota, US",0,1,1,4
Meade,South Dakota,"Meade, South Dakota, US",0,1,1,21
Mellette,South Dakota,"Mellette, South Dakota, US",0,0,0,0
Miner,South Dakota,"Miner, South Dakota, US",0,0,1,2
Minnehaha,South Dakota,"Minnehaha, South Dakota, US",0,40,2089,3355
Moody,South Dakota,"Moody, South Dakota, US",0,0,5,19
Oglala Lakota,South Dakota,"Oglala Lakota, South Dakota, US",0,0,1,31
Pennington,South Dakota,"Pennington, South Dakota, US",0,5,13,235
Perkins,South Dakota,"Perkins, South Dakota, US",0,0,0,0
Potter,South Dakota,"Potter, South Dakota, US",0,0,0,0
Roberts,South Dakota,"Roberts, South Dakota, US",0,2,8,36
Sanborn,South Dakota,"Sanborn, South Dakota, US",0,0,3,13
Spink,South Dakota,"Spink, South Dakota, US",0,0,3,5
Stanley,South Dakota,"Stanley, South Dakota, US",0,0,8,10
Sully,South Dakota,"Sully, South Dakota, US",0,0,1,1
Todd,South Dakota,"Todd, South Dakota, US",0,1,2,27
Tripp,South Dakota,"Tripp, South Dakota, US",0,0,0,6
Turner,South Dakota,"Turner, South Dakota, US",0,1,17,24
Union,South Dakota,"Union, South Dakota, US",0,1,21,91
Walworth,South Dakota,"Walworth, South Dakota, US",0,0,5,5
Yankton,South Dakota,"Yankton, South Dakota, US",0,8,27,51
Ziebach,South Dakota,"Ziebach, South Dakota, US",0,0,0,1
Anderson,Tennessee,"Anderson, Tennessee, US",0,10,28,40
Bedford,Tennessee,"Bedford, Tennessee, US",0,4,184,283
Benton,Tennessee,"Benton, Tennessee, US",0,4,5,7
Bledsoe,Tennessee,"Bledsoe, Tennessee, US",0,2,595,607
Blount,Tennessee,"Blount, Tennessee, US",0,28,58,91
Bradley,Tennessee,"Bradley, Tennessee, US",0,14,52,122
Campbell,Tennessee,"Campbell, Tennessee, US",0,4,16,18
Cannon,Tennessee,"Cannon, Tennessee, US",0,3,12,21
Carroll,Tennessee,"Carroll, Tennessee, US",0,5,18,27
Carter,Tennessee,"Carter, Tennessee, US",0,1,13,19
Cheatham,Tennessee,"Cheatham, Tennessee, US",0,11,48,123
Chester,Tennessee,"Chester, Tennessee, US",0,3,10,12
Claiborne,Tennessee,"Claiborne, Tennessee, US",0,2,5,9
Clay,Tennessee,"Clay, Tennessee, US",0,1,5,7
Cocke,Tennessee,"Cocke, Tennessee, US",0,1,16,20
Coffee,Tennessee,"Coffee, Tennessee, US",0,1,36,73
Crockett,Tennessee,"Crockett, Tennessee, US",0,0,7,16
Cumberland,Tennessee,"Cumberland, Tennessee, US",0,14,74,112
Davidson,Tennessee,"Davidson, Tennessee, US",0,673,2652,5040
Decatur,Tennessee,"Decatur, Tennessee, US",0,0,4,5
DeKalb,Tennessee,"DeKalb,Tennessee,US",0,5,17,37
Dickson,Tennessee,"Dickson, Tennessee, US",0,18,74,109
Dyer,Tennessee,"Dyer, Tennessee, US",0,3,36,50
Fayette,Tennessee,"Fayette, Tennessee, US",0,14,59,115
Fentress,Tennessee,"Fentress, Tennessee, US",0,1,4,12
Franklin,Tennessee,"Franklin, Tennessee, US",0,7,36,53
Gibson,Tennessee,"Gibson, Tennessee, US",0,6,45,63
Giles,Tennessee,"Giles, Tennessee, US",0,3,8,12
Grainger,Tennessee,"Grainger, Tennessee, US",0,3,6,8
Greene,Tennessee,"Greene, Tennessee, US",0,15,44,50
Grundy,Tennessee,"Grundy, Tennessee, US",0,6,28,31
Hamblen,Tennessee,"Hamblen, Tennessee, US",0,3,18,36
Hamilton,Tennessee,"Hamilton, Tennessee, US",0,50,160,794
Hancock,Tennessee,"Hancock, Tennessee, US",0,0,0,1
Hardeman,Tennessee,"Hardeman, Tennessee, US",0,4,16,196
Hardin,Tennessee,"Hardin, Tennessee, US",0,2,5,15
Hawkins,Tennessee,"Hawkins, Tennessee, US",0,5,30,33
Haywood,Tennessee,"Haywood, Tennessee, US",0,2,23,31
Henderson,Tennessee,"Henderson, Tennessee, US",0,0,7,15
Henry,Tennessee,"Henry, Tennessee, US",0,1,13,30
Hickman,Tennessee,"Hickman, Tennessee, US",0,1,44,58
Houston,Tennessee,"Houston, Tennessee, US",0,1,5,8
Humphreys,Tennessee,"Humphreys, Tennessee, US",0,2,11,13
Jackson,Tennessee,"Jackson, Tennessee, US",0,0,7,17
Jefferson,Tennessee,"Jefferson, Tennessee, US",0,6,20,28
Johnson,Tennessee,"Johnson, Tennessee, US",0,2,3,16
Knox,Tennessee,"Knox, Tennessee, US",0,78,233,375
Lake,Tennessee,"Lake, Tennessee, US",0,0,55,414
Lauderdale,Tennessee,"Lauderdale, Tennessee, US",0,1,21,56
Lawrence,Tennessee,"Lawrence, Tennessee, US",0,2,17,31
Lewis,Tennessee,"Lewis, Tennessee, US",0,2,2,3
Lincoln,Tennessee,"Lincoln, Tennessee, US",0,2,14,25
Loudon,Tennessee,"Loudon, Tennessee, US",0,8,32,143
McMinn,Tennessee,"McMinn, Tennessee, US",0,3,94,141
McNairy,Tennessee,"McNairy, Tennessee, US",0,1,11,12
Macon,Tennessee,"Macon, Tennessee, US",0,4,41,136
Madison,Tennessee,"Madison, Tennessee, US",0,7,136,175
Marion,Tennessee,"Marion, Tennessee, US",0,8,29,40
Marshall,Tennessee,"Marshall, Tennessee, US",0,1,23,31
Maury,Tennessee,"Maury, Tennessee, US",0,17,44,89
Meigs,Tennessee,"Meigs, Tennessee, US",0,1,9,26
Monroe,Tennessee,"Monroe, Tennessee, US",0,5,21,62
Montgomery,Tennessee,"Montgomery, Tennessee, US",0,27,146,269
Moore,Tennessee,"Moore, Tennessee, US",0,0,3,3
Morgan,Tennessee,"Morgan, Tennessee, US",0,1,6,17
Obion,Tennessee,"Obion, Tennessee, US",0,2,14,30
Overton,Tennessee,"Overton, Tennessee, US",0,2,8,26
Perry,Tennessee,"Perry, Tennessee, US",0,2,12,21
Pickett,Tennessee,"Pickett, Tennessee, US",0,0,0,3
Polk,Tennessee,"Polk, Tennessee, US",0,0,8,16
Putnam,Tennessee,"Putnam, Tennessee, US",0,31,122,479
Rhea,Tennessee,"Rhea, Tennessee, US",0,1,5,210
Roane,Tennessee,"Roane, Tennessee, US",0,2,7,16
Robertson,Tennessee,"Robertson, Tennessee, US",0,35,157,465
Rutherford,Tennessee,"Rutherford, Tennessee, US",0,86,502,1196
Scott,Tennessee,"Scott, Tennessee, US",0,3,11,12
Sequatchie,Tennessee,"Sequatchie, Tennessee, US",0,1,5,15
Sevier,Tennessee,"Sevier, Tennessee, US",0,9,49,81
Shelby,Tennessee,"Shelby, Tennessee, US",0,496,2599,4943
Smith,Tennessee,"Smith, Tennessee, US",0,3,22,34
Stewart,Tennessee,"Stewart, Tennessee, US",0,0,7,11
Sullivan,Tennessee,"Sullivan, Tennessee, US",0,17,49,60
Sumner,Tennessee,"Sumner, Tennessee, US",0,201,632,881
Tipton,Tennessee,"Tipton, Tennessee, US",0,22,98,442
Trousdale,Tennessee,"Trousdale, Tennessee, US",0,5,1020,1392
Unicoi,Tennessee,"Unicoi, Tennessee, US",0,1,2,4
Union,Tennessee,"Union, Tennessee, US",0,1,3,4
Van Buren,Tennessee,"Van Buren, Tennessee, US",0,0,2,4
Warren,Tennessee,"Warren, Tennessee, US",0,1,8,23
Washington,Tennessee,"Washington, Tennessee, US",0,21,55,75
Wayne,Tennessee,"Wayne, Tennessee, US",0,1,4,64
Weakley,Tennessee,"Weakley, Tennessee, US",0,1,23,26
White,Tennessee,"White, Tennessee, US",0,2,7,33
Williamson,Tennessee,"Williamson, Tennessee, US",0,148,416,552
Wilson,Tennessee,"Wilson, Tennessee, US",0,45,259,407
Anderson,Texas,"Anderson, Texas, US",0,1,32,72
Andrews,Texas,"Andrews, Texas, US",0,0,20,27
Angelina,Texas,"Angelina, Texas, US",0,5,54,205
Aransas,Texas,"Aransas, Texas, US",0,0,2,5
Archer,Texas,"Archer, Texas, US",0,0,0,1
Armstrong,Texas,"Armstrong, Texas, US",0,0,2,3
Atascosa,Texas,"Atascosa, Texas, US",0,2,19,37
Austin,Texas,"Austin, Texas, US",0,2,13,27
Bailey,Texas,"Bailey, Texas, US",0,0,0,17
Bandera,Texas,"Bandera, Texas, US",0,0,6,6
Bastrop,Texas,"Bastrop, Texas, US",0,8,82,212
Baylor,Texas,"Baylor, Texas, US",0,0,0,0
Bee,Texas,"Bee, Texas, US",0,0,6,9
Bell,Texas,"Bell, Texas, US",0,46,189,378
Bexar,Texas,"Bexar, Texas, US",0,207,1374,2830
Blanco,Texas,"Blanco, Texas, US",0,1,6,11
Borden,Texas,"Borden, Texas, US",0,0,0,0
Bosque,Texas,"Bosque, Texas, US",0,0,4,7
Bowie,Texas,"Bowie, Texas, US",0,9,74,267
Brazoria,Texas,"Brazoria, Texas, US",0,95,509,917
Brazos,Texas,"Brazos, Texas, US",0,63,202,483
Brewster,Texas,"Brewster, Texas, US",0,0,1,1
Briscoe,Texas,"Briscoe, Texas, US",0,0,0,1
Brooks,Texas,"Brooks, Texas, US",0,0,1,1
Brown,Texas,"Brown, Texas, US",0,3,36,58
Burleson,Texas,"Burleson, Texas, US",0,1,13,25
Burnet,Texas,"Burnet, Texas, US",0,3,19,38
Caldwell,Texas,"Caldwell, Texas, US",0,1,14,66
Calhoun,Texas,"Calhoun, Texas, US",0,7,30,37
Callahan,Texas,"Callahan, Texas, US",0,0,2,9
Cameron,Texas,"Cameron, Texas, US",0,26,412,764
Camp,Texas,"Camp, Texas, US",0,1,6,84
Carson,Texas,"Carson, Texas, US",0,0,2,6
Cass,Texas,"Cass, Texas, US",0,3,14,29
Castro,Texas,"Castro, Texas, US",0,8,15,33
Chambers,Texas,"Chambers, Texas, US",0,9,42,68
Cherokee,Texas,"Cherokee, Texas, US",0,5,16,44
Childress,Texas,"Childress, Texas, US",0,0,1,2
Clay,Texas,"Clay, Texas, US",0,1,3,3
Cochran,Texas,"Cochran, Texas, US",0,0,1,1
Coke,Texas,"Coke, Texas, US",0,0,0,1
Coleman,Texas,"Coleman, Texas, US",0,0,1,3
Collin,Texas,"Collin, Texas, US",0,184,724,1312
Collingsworth,Texas,"Collingsworth, Texas, US",0,0,0,5
Colorado,Texas,"Colorado, Texas, US",0,2,11,22
Comal,Texas,"Comal, Texas, US",0,12,55,99
Comanche,Texas,"Comanche, Texas, US",0,2,3,12
Concho,Texas,"Concho, Texas, US",0,0,1,1
Cooke,Texas,"Cooke, Texas, US",0,0,7,14
Coryell,Texas,"Coryell, Texas, US",0,1,158,282
Cottle,Texas,"Cottle, Texas, US",0,0,2,4
Crane,Texas,"Crane, Texas, US",0,2,2,23
Crockett,Texas,"Crockett, Texas, US",0,0,0,0
Crosby,Texas,"Crosby, Texas, US",0,0,2,4
Culberson,Texas,"Culberson, Texas, US",0,0,0,0
Dallam,Texas,"Dallam, Texas, US",0,0,10,25
Dallas,Texas,"Dallas, Texas, US",0,731,3718,10462
Dawson,Texas,"Dawson, Texas, US",0,3,24,42
Deaf Smith,Texas,"Deaf Smith, Texas, US",0,2,31,164
Delta,Texas,"Delta, Texas, US",0,0,1,1
Denton,Texas,"Denton, Texas, US",0,206,765,1373
DeWitt,Texas,"DeWitt, Texas, US",0,6,15,17
Dickens,Texas,"Dickens, Texas, US",0,0,1,1
Dimmit,Texas,"Dimmit, Texas, US",0,0,1,1
Donley,Texas,"Donley, Texas, US",0,1,24,26
Duval,Texas,"Duval, Texas, US",0,0,2,5
Eastland,Texas,"Eastland, Texas, US",0,4,3,6
Ector,Texas,"Ector, Texas, US",0,11,78,154
Edwards,Texas,"Edwards, Texas, US",0,0,0,0
Ellis,Texas,"Ellis, Texas, US",0,20,148,335
El Paso,Texas,"El Paso, Texas, US",0,57,924,2794
Erath,Texas,"Erath, Texas, US",0,7,12,17
Falls,Texas,"Falls, Texas, US",0,1,4,7
Fannin,Texas,"Fannin, Texas, US",0,1,18,41
Fayette,Texas,"Fayette, Texas, US",0,4,15,34
Fisher,Texas,"Fisher, Texas, US",0,0,0,2
Floyd,Texas,"Floyd, Texas, US",0,0,3,11
Foard,Texas,"Foard, Texas, US",0,0,0,0
Fort Bend,Texas,"Fort Bend, Texas, US",0,163,1052,1881
Franklin,Texas,"Franklin, Texas, US",0,1,1,16
Freestone,Texas,"Freestone, Texas, US",0,0,5,10
Frio,Texas,"Frio, Texas, US",0,0,7,37
Gaines,Texas,"Gaines, Texas, US",0,1,2,7
Galveston,Texas,"Galveston, Texas, US",0,106,595,817
Garza,Texas,"Garza, Texas, US",0,0,1,5
Gillespie,Texas,"Gillespie, Texas, US",0,1,2,5
Glasscock,Texas,"Glasscock, Texas, US",0,0,1,1
Goliad,Texas,"Goliad, Texas, US",0,0,7,7
Gonzales,Texas,"Gonzales, Texas, US",0,1,21,129
Gray,Texas,"Gray, Texas, US",0,0,58,98
Grayson,Texas,"Grayson, Texas, US",0,8,34,338
Gregg,Texas,"Gregg, Texas, US",0,8,80,213
Grimes,Texas,"Grimes, Texas, US",0,3,19,217
Guadalupe,Texas,"Guadalupe, Texas, US",0,17,81,133
Hale,Texas,"Hale, Texas, US",0,1,25,58
Hall,Texas,"Hall, Texas, US",0,0,0,2
Hamilton,Texas,"Hamilton, Texas, US",0,0,5,8
Hansford,Texas,"Hansford, Texas, US",0,0,6,19
Hardeman,Texas,"Hardeman, Texas, US",0,0,0,1
Hardin,Texas,"Hardin, Texas, US",0,13,100,138
Harris,Texas,"Harris, Texas, US",0,847,6551,12664
Harrison,Texas,"Harrison, Texas, US",0,3,113,245
Hartley,Texas,"Hartley, Texas, US",0,0,5,12
Haskell,Texas,"Haskell, Texas, US",0,0,0,3
Hays,Texas,"Hays, Texas, US",0,42,165,329
Hemphill,Texas,"Hemphill, Texas, US",0,0,1,1
Henderson,Texas,"Henderson, Texas, US",0,1,25,57
Hidalgo,Texas,"Hidalgo, Texas, US",0,46,334,575
Hill,Texas,"Hill, Texas, US",0,2,16,24
Hockley,Texas,"Hockley, Texas, US",0,7,21,27
Hood,Texas,"Hood, Texas, US",0,6,19,27
Hopkins,Texas,"Hopkins, Texas, US",0,3,4,26
Houston,Texas,"Houston, Texas, US",0,0,6,114
Howard,Texas,"Howard, Texas, US",0,0,4,8
Hudspeth,Texas,"Hudspeth, Texas, US",0,0,0,2
Hunt,Texas,"Hunt, Texas, US",0,4,47,88
Hutchinson,Texas,"Hutchinson, Texas, US",0,0,14,36
Irion,Texas,"Irion, Texas, US",0,0,0,0
Jack,Texas,"Jack, Texas, US",0,0,4,4
Jackson,Texas,"Jackson, Texas, US",0,1,8,18
Jasper,Texas,"Jasper, Texas, US",0,1,16,29
Jeff Davis,Texas,"Jeff Davis, Texas, US",0,0,0,0
Jefferson,Texas,"Jefferson, Texas, US",0,27,307,550
Jim Hogg,Texas,"Jim Hogg, Texas, US",0,0,3,4
Jim Wells,Texas,"Jim Wells, Texas, US",0,0,3,9
Johnson,Texas,"Johnson, Texas, US",0,12,69,175
Jones,Texas,"Jones, Texas, US",0,0,37,401
Karnes,Texas,"Karnes, Texas, US",0,2,3,4
Kaufman,Texas,"Kaufman, Texas, US",0,4,86,223
Kendall,Texas,"Kendall, Texas, US",0,7,16,29
Kenedy,Texas,"Kenedy, Texas, US",0,0,0,0
Kent,Texas,"Kent, Texas, US",0,0,0,0
Kerr,Texas,"Kerr, Texas, US",0,1,5,19
Kimble,Texas,"Kimble, Texas, US",0,0,0,1
King,Texas,"King, Texas, US",0,0,0,0
Kinney,Texas,"Kinney, Texas, US",0,0,0,1
Kleberg,Texas,"Kleberg, Texas, US",0,1,8,16
Knox,Texas,"Knox, Texas, US",0,0,1,1
Lamar,Texas,"Lamar, Texas, US",0,3,61,145
Lamb,Texas,"Lamb, Texas, US",0,1,3,16
Lampasas,Texas,"Lampasas, Texas, US",0,0,3,9
La Salle,Texas,"La Salle, Texas, US",0,0,1,4
Lavaca,Texas,"Lavaca, Texas, US",0,1,6,12
Lee,Texas,"Lee, Texas, US",0,0,2,24
Leon,Texas,"Leon, Texas, US",0,2,6,10
Liberty,Texas,"Liberty, Texas, US",0,3,43,95
Limestone,Texas,"Limestone, Texas, US",0,2,12,24
Lipscomb,Texas,"Lipscomb, Texas, US",0,0,2,2
Live Oak,Texas,"Live Oak, Texas, US",0,1,5,9
Llano,Texas,"Llano, Texas, US",0,3,3,3
Loving,Texas,"Loving, Texas, US",0,0,0,0
Lubbock,Texas,"Lubbock, Texas, US",0,100,535,692
Lynn,Texas,"Lynn, Texas, US",0,2,5,7
McCulloch,Texas,"McCulloch, Texas, US",0,0,3,3
McLennan,Texas,"McLennan, Texas, US",0,44,89,118
McMullen,Texas,"McMullen, Texas, US",0,0,0,0
Madison,Texas,"Madison, Texas, US",0,0,1,8
Marion,Texas,"Marion, Texas, US",0,0,14,16
Martin,Texas,"Martin, Texas, US",0,1,2,3
Mason,Texas,"Mason, Texas, US",0,0,21,32
Matagorda,Texas,"Matagorda, Texas, US",0,27,60,70
Maverick,Texas,"Maverick, Texas, US",0,1,24,116
Medina,Texas,"Medina, Texas, US",0,3,20,73
Menard,Texas,"Menard, Texas, US",0,0,0,0
Midland,Texas,"Midland, Texas, US",0,16,79,129
Milam,Texas,"Milam, Texas, US",0,2,16,28
Mills,Texas,"Mills, Texas, US",0,0,0,1
Mitchell,Texas,"Mitchell, Texas, US",0,0,1,1
Montague,Texas,"Montague, Texas, US",0,1,6,9
Montgomery,Texas,"Montgomery, Texas, US",0,110,629,966
Moore,Texas,"Moore, Texas, US",0,1,350,689
Morris,Texas,"Morris, Texas, US",0,1,5,26
Motley,Texas,"Motley, Texas, US",0,0,1,1
Nacogdoches,Texas,"Nacogdoches, Texas, US",0,4,160,288
Navarro,Texas,"Navarro, Texas, US",0,4,31,56
Newton,Texas,"Newton, Texas, US",0,1,2,5
Nolan,Texas,"Nolan, Texas, US",0,0,1,4
Nueces,Texas,"Nueces, Texas, US",0,34,102,275
Ochiltree,Texas,"Ochiltree, Texas, US",0,0,19,49
Oldham,Texas,"Oldham, Texas, US",0,2,3,3
Orange,Texas,"Orange, Texas, US",0,7,71,98
Palo Pinto,Texas,"Palo Pinto, Texas, US",0,0,7,13
Panola,Texas,"Panola, Texas, US",0,3,128,197
Parker,Texas,"Parker, Texas, US",0,4,30,76
Parmer,Texas,"Parmer, Texas, US",0,0,8,59
Pecos,Texas,"Pecos, Texas, US",0,0,11,102
Polk,Texas,"Polk, Texas, US",0,4,20,56
Potter,Texas,"Potter, Texas, US",0,16,572,2321
Presidio,Texas,"Presidio, Texas, US",0,0,0,1
Rains,Texas,"Rains, Texas, US",0,0,2,3
Randall,Texas,"Randall, Texas, US",0,17,234,674
Reagan,Texas,"Reagan, Texas, US",0,0,0,2
Real,Texas,"Real, Texas, US",0,0,0,0
Red River,Texas,"Red River, Texas, US",0,0,1,70
Reeves,Texas,"Reeves, Texas, US",0,0,5,7
Refugio,Texas,"Refugio, Texas, US",0,0,0,3
Roberts,Texas,"Roberts, Texas, US",0,0,2,2
Robertson,Texas,"Robertson, Texas, US",0,2,4,9
Rockwall,Texas,"Rockwall, Texas, US",0,9,75,167
Runnels,Texas,"Runnels, Texas, US",0,0,1,3
Rusk,Texas,"Rusk, Texas, US",0,5,36,55
Sabine,Texas,"Sabine, Texas, US",0,0,1,15
San Augustine,Texas,"San Augustine, Texas, US",0,1,19,38
San Jacinto,Texas,"San Jacinto, Texas, US",0,1,9,14
San Patricio,Texas,"San Patricio, Texas, US",0,2,12,33
San Saba,Texas,"San Saba, Texas, US",0,0,0,1
Schleicher,Texas,"Schleicher, Texas, US",0,0,0,0
Scurry,Texas,"Scurry, Texas, US",0,0,2,24
Shackelford,Texas,"Shackelford, Texas, US",0,0,0,1
Shelby,Texas,"Shelby, Texas, US",0,4,117,201
Sherman,Texas,"Sherman, Texas, US",0,0,17,24
Smith,Texas,"Smith, Texas, US",0,37,144,204
Somervell,Texas,"Somervell, Texas, US",0,0,0,0
Starr,Texas,"Starr, Texas, US",0,4,9,34
Stephens,Texas,"Stephens, Texas, US",0,0,1,4
Sterling,Texas,"Sterling, Texas, US",0,0,0,0
Stonewall,Texas,"Stonewall, Texas, US",0,0,0,0
Sutton,Texas,"Sutton, Texas, US",0,0,0,0
Swisher,Texas,"Swisher, Texas, US",0,1,9,17
Tarrant,Texas,"Tarrant, Texas, US",0,288,2246,5513
Taylor,Texas,"Taylor, Texas, US",0,14,319,236
Terrell,Texas,"Terrell, Texas, US",0,0,0,0
Terry,Texas,"Terry, Texas, US",0,4,11,13
Throckmorton,Texas,"Throckmorton, Texas, US",0,0,0,0
Titus,Texas,"Titus, Texas, US",0,0,17,458
Tom Green,Texas,"Tom Green, Texas, US",0,9,53,106
Travis,Texas,"Travis, Texas, US",0,244,1683,3272
Trinity,Texas,"Trinity, Texas, US",0,0,8,15
Tyler,Texas,"Tyler, Texas, US",0,1,6,12
Upshur,Texas,"Upshur, Texas, US",0,2,15,26
Upton,Texas,"Upton, Texas, US",0,0,0,0
Uvalde,Texas,"Uvalde, Texas, US",0,4,6,12
Val Verde,Texas,"Val Verde, Texas, US",0,5,13,20
Van Zandt,Texas,"Van Zandt, Texas, US",0,2,15,31
Victoria,Texas,"Victoria, Texas, US",0,16,137,160
Walker,Texas,"Walker, Texas, US",0,5,269,1456
Waller,Texas,"Waller, Texas, US",0,3,33,62
Ward,Texas,"Ward, Texas, US",0,0,0,1
Washington,Texas,"Washington, Texas, US",0,17,144,202
Webb,Texas,"Webb, Texas, US",0,45,363,548
Wharton,Texas,"Wharton, Texas, US",0,7,37,58
Wheeler,Texas,"Wheeler, Texas, US",0,0,7,15
Wichita,Texas,"Wichita, Texas, US",0,38,65,84
Wilbarger,Texas,"Wilbarger, Texas, US",0,0,1,7
Willacy,Texas,"Willacy, Texas, US",0,2,13,18
Williamson,Texas,"Williamson, Texas, US",0,50,306,630
Wilson,Texas,"Wilson, Texas, US",0,3,32,38
Winkler,Texas,"Winkler, Texas, US",0,0,3,3
Wise,Texas,"Wise, Texas, US",0,1,17,46
Wood,Texas,"Wood, Texas, US",0,1,9,29
Yoakum,Texas,"Yoakum, Texas, US",0,0,1,3
Young,Texas,"Young, Texas, US",0,3,4,4
Zapata,Texas,"Zapata, Texas, US",0,0,7,9
Zavala,Texas,"Zavala, Texas, US",0,0,1,11
Beaver,Utah,"Beaver, Utah, US",0,0,0,0
Box Elder,Utah,"Box Elder, Utah, US",0,0,0,0
Cache,Utah,"Cache, Utah, US",0,7,0,0
Carbon,Utah,"Carbon, Utah, US",0,0,0,0
